swearing,score
anus,0.53430706
arse,0.355017
arsehole,0.5958905
ass,
ass-hat,0.7464593
ass-jabber,0.7816909
ass-pirate,0.7569718
assbag,0.6430099
assbandit,
assbanger,0.6769488
assbite,0.50272423
assclown,0.7060645
asscock,0.7007861
asscracker,0.6237118
asses,0.5851118
assface,0.68288773
assfuck,0.8795294
assfucker,0.8831064
assgoblin,0.50221276
asshat,0.5958905
asshead,0.73034537
asshole,0.89158845
asshopper,0.53430706
assjacker,
asslick,0.6221407
asslicker,0.7627802
assmonkey,0.5958905
assmunch,0.43791756
assmuncher,0.57816684
assnigger,0.81344116
asspirate,0.32563272
assshit,0.83020335
assshole,0.8890526
asssucker,0.8129004
asswad,
asswipe,0.6757943
axwound,0.07730943
bampot,0.12051678
bastard,0.8635976
beaner,0.31389946
beartrap,0.17034957
bitch,0.9254919
bitchass,0.8795294
bitches,0.8960455
bitchtits,0.8129004
bitchy,0.8269591
blow job,0.6611312
blowjob,0.5958905
bollocks,0.42616197
bollox,
boner,0.4151741
brotherfucker,0.86967754
bullshit,0.867151
bumblefuck,0.7545523
butt plug,0.53837943
butt-pirate,0.45045215
buttfucka,0.7569718
buttfucker,0.83020335
camel toe,0.2712817
carpetmuncher,0.1550967
chesticle,0.21186037
chinc,0.15217799
chink,0.2936093
choad,0.062925026
chode,
clit,0.47246054
clitface,0.5958905
clitfuck,0.8457076
clitweasel,0.5031149
clusterfuck,0.5750231
cock,0.5810591
cockass,0.7593913
cockbite,0.46786317
cockburger,0.50994116
cockface,0.6757943
cockfucker,0.88651687
cockhead,0.6777893
cockjockey,0.5124461
cockknoker,0.5023275
cockmaster,0.5535644
cockmongler,0.59863794
cockmongruel,0.22978203
cockmonkey,0.58919406
cockmuncher,0.57027644
cocknose,0.4945446
cocknugget,0.6430099
cockshit,0.8269591
cocksmith,0.39284727
cocksmoke,0.5835036
cocksmoker,0.5810591
cocksniffer,0.5958905
cocksucker,0.81344116
cockwaffle,0.39230084
coochie,0.22988434
coochy,0.36805952
coon,0.34792873
cooter,0.10892494
cracker,0.12953265
cum,
cumbubble,0.42631236
cumdumpster,0.46292964
cumguzzler,0.46292964
cumjockey,0.5026305
cumslut,0.6710289
cumtart,0.48794
cunnie,0.38874862
cunnilingus,0.5124461
cunt,0.50255704
cuntass,
cuntface,0.650189
cunthole,0.6662635
cuntlicker,0.5958905
cuntrag,
cuntslut,0.5958905
dago,
damn,0.5535644
deggo,
dick,0.59863794
dick-sneeze,0.5818954
dickbag,0.7509647
dickbeaters,0.5535644
dickface,0.7545523
dickfuck,0.89158845
dickfucker,0.8890526
dickhead,0.8346757
dickhole,0.7627802
dickjuice,0.67902285
dickmilk,0.6430099
dickmonger,0.6955873
dicks,0.7060645
dickslap,0.5124461
dicksucker,0.83020335
dicksucking,0.81344116
dicktickler,0.8398533
dickwad,0.62792164
dickweasel,
dickweed,
dickwod,0.5550837
dike,
dildo,0.39230084
dipshit,
docking,0.07571117
doochbag,0.4151741
dookie,0.15976663
douche,0.3123962
douche-fag,
douchebag,0.53430706
douchewaffle,0.25676212
dumass,0.5026305
dumb ass,0.9448569
dumbass,0.8457076
dumbfuck,0.8457076
dumbshit,0.8346757
dumshit,0.73034537
dyke,0.34388447
fag,
fagbag,
fagfucker,0.8890526
faggit,0.7545523
faggot,0.83020335
faggotcock,0.8269591
fagnut,
fagtard,0.7007861
fatass,
fellatio,0.36667302
feltch,0.32563272
flamer,0.1019289
fuck,0.9017833
fuckass,0.95068264
fuckbag,0.9254919
fuckboy,
fuckbrain,0.77806646
fuckbutt,0.8960455
fuckbutter,0.78524166
fucked,0.8831064
fucker,0.9189384
fuckersucker,0.8742253
fuckface,0.89158845
fuckhead,0.93413806
fuckhole,0.8960455
fuckin,0.83020335
fucking,0.87209356
fucknose,0.8393344
fucknut,0.83020335
fucknutt,
fuckoff,0.9107452
fucks,0.9017833
fuckstick,0.8086813
fucktard,0.9320454
fucktart,0.89158845
fuckup,0.8890526
fuckwad,0.8457076
fuckwit,0.9107452
fuckwitt,0.8346757
fudgepacker,0.39230084
gay,0.60845
gayass,0.6887467
gaybob,0.49835235
gaydo,
gayfuck,0.9358428
gayfuckist,
gaylord,0.46621865
gaytard,
gaywad,
goddamn,0.6357597
goddamnit,0.6556601
gooch,0.09816993
gook,0.35756677
goopchute,0.076110736
gringo,0.15743166
guido,0.018187003
handjob,
hard on,0.089577995
heeb,
hell,0.31661135
ho,
hoe,0.5550837
homo,0.5363433
homodumbshit,0.7344555
honkey,0.29756662
humping,0.16551583
idiot, 0.8087
jackass,0.7509647
jagoff,0.105704986
jap,0.031357653
jerk off,0.7969615
jerkass,
jigaboo,
jizz,0.2936093
jungle bunny,0.22687212
junglebunny,0.15743166
kike,
kooch,0.11085691
kootch,0.14463188
kraut,0.0495556
kunt,0.3897707
kyke,
lameass,0.59863794
lardass,
lesbian,0.5012814
lesbo,
lezzie,0.089041
masturbate,0.5038962
mcfagget,
mick,0.029125832
minge,
mothafucka,0.9017833
mothafuckin\',0.9107452
motherfucker,0.9254919
motherfucking,0.89158845
muff,0.13386416
muffdiver,
munging,
nazi,0.39230084
negro,0.5810591
nigaboo,
nigga,0.7007861
nigger,0.7464593
niggerish,0.6769488
niggers,0.7593913
niglet,0.5012814
nignog,0.2936093
nut sack,0.4292556
nutsack,0.43100753
paki,
panooch,0.09655894
pecker,0.37221906
peckerhead,0.50272423
penis,0.49835235
penisbanger,0.7060645
penisfucker,0.87209356
penispuffer,0.925242
piss,0.39284727
pissed,0.34388447
pissed off,0.5174561
pissflaps,0.39206567
polesmoker,0.13386416
pollock,0.19042583
poon,0.2945986
poonani,
poonany,
poontang,
porch monkey,0.38567963
porchmonkey,0.4292556
prick,0.5042868
punanny,
punta,0.043031808
pussies,0.7138269
pussy,0.6955873
pussylicking,0.6430099
puto,
queef,0.6457777
queer,0.2712817
queerbait,0.29558796
queerhole,0.44820568
renob,
rimjob,0.15246986
ruski,
sand nigger,0.7740273
sandnigger,
schlong,
scrote,0.30187345
shit,0.7007861
shitass,0.867151
shitbag,0.7545523
shitbagger,0.7344555
shitbrains,0.60845
shitbreath,0.60845
shitcanned,0.4945446
shitcunt,0.7509647
shitdick,0.78018236
shitface,0.7816909
shitfaced,0.6254302
shithead,
shithole,
shithouse,0.61826205
shitspitter,0.5550837
shitstain,0.46292964
shitter,
shittiest,0.6887467
shitting,0.6430099
shitty,0.7969615
shiz,
shiznit,
skank,0.42092466
skeet,0.1943727
skullfuck,0.7969615
slut,
slutbag,
smeg,0.1609341
snatch,0.076110736
spic,0.22988434
spick,0.21980777
splooge,
spook,0.05773066
stupid, 0.7061
suckass,0.81344116
tard,0.2712817
testicle,0.44805592
thundercunt,0.5535644
tit,0.43451136
titfuck,0.7509647
tits,0.5851118
tittyfuck,0.8393344
twat,0.52368855
twatlips,0.26132804
twats,0.4497033
twatwaffle,
twit,0.15918289
uglyfuck,0.8763571
unclefucker,0.7257758
va-j-j,0.15743166
vag,0.31714454
vagina,0.5049312
vajayjay,0.0753116
vjayjay,0.059328925
wank,0.5550837
wankjob,0.57027644
wetback,0.35010305
whore,0.78524166
whorebag,0.7344555
whoreface,0.7382047
wop,0.08796701
